INFO | 2023-12-31 04:00 -- Day change encountered, pokestop scanning initialized
INFO | 2023-12-31 04:00 -- Cleared previous quest data
INFO | 2023-12-31 04:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2023-12-31 04:00 -- Truncated quests table sucessfully!
INFO | 2023-12-31 04:00 -- New PvP data generated
INFO | 2023-12-31 04:00 -- New last_scanned_date set to 2023-12-31 00:00:00
INFO | 2023-12-31 04:00 -- a95xF1 set to scan Marinha Grande
INFO | 2023-12-31 04:00 -- Enabled quest scanning mode
INFO | 2023-12-31 04:00 -- Pokestop quest scanning started
INFO | 2023-12-31 04:40 -- a95xF1 reverted to scan Leiria
INFO | 2023-12-31 04:50 -- Disabled quest scanning mode
INFO | 2023-12-31 04:50 -- Pokestop quest scan completed
ERROR | 2023-12-31 05:20 -- Devices down: Tx9s, Tx9s2_JMBoy
ERROR | 2023-12-31 05:40 -- Devices down: a95xF1
ERROR | 2023-12-31 06:15 -- Devices down: Tx9s
ERROR | 2023-12-31 07:55 -- Devices down: a95xF1
ERROR | 2023-12-31 12:30 -- Devices down: Tx9s
ERROR | 2023-12-31 13:30 -- Devices down: Tx9s2_JMBoy
ERROR | 2023-12-31 14:55 -- Devices down: Tx9s3_JMBoy
ERROR | 2023-12-31 15:30 -- Devices down: Tx9s1_JMBoy
INFO | 2023-12-31 20:00 -- Rescan scheduled starting
INFO | 2023-12-31 20:00 -- Cleared previous quest data
INFO | 2023-12-31 20:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2023-12-31 20:00 -- Truncated quests table sucessfully!
INFO | 2023-12-31 20:00 -- New PvP data generated
INFO | 2023-12-31 20:00 -- New last_scanned_date set to 2023-12-31 00:00:00
INFO | 2023-12-31 20:00 -- a95xF1 set to scan Marinha Grande
INFO | 2023-12-31 20:00 -- Enabled quest scanning mode
INFO | 2023-12-31 20:00 -- Scheduled rescan started successfully
INFO | 2023-12-31 20:35 -- a95xF1 reverted to scan Leiria
INFO | 2023-12-31 20:40 -- Disabled quest scanning mode
INFO | 2023-12-31 20:40 -- Pokestop quest scan completed
ERROR | 2023-12-31 20:55 -- Devices down: Tx9s
INFO | 2024-01-01 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-01 00:00 -- Cleared previous quest data
INFO | 2024-01-01 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-01 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-01 00:00 -- New PvP data generated
INFO | 2024-01-01 00:00 -- New last_scanned_date set to 2024-01-01 00:00:00
INFO | 2024-01-01 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-01 00:00 -- Enabled quest scanning mode
INFO | 2024-01-01 00:00 -- Pokestop quest scanning started
INFO | 2024-01-01 00:35 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-01 00:45 -- Disabled quest scanning mode
INFO | 2024-01-01 00:45 -- Pokestop quest scan completed
ERROR | 2024-01-01 06:00 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 06:45 -- Devices down: a95xF1, Tx9s1_JMBoy
ERROR | 2024-01-01 07:15 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 07:55 -- Devices down: a95xF1, Tx9s1_JMBoy
ERROR | 2024-01-01 08:00 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 09:15 -- Devices down: a95xF1, Tx9s1_JMBoy
ERROR | 2024-01-01 09:20 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 10:00 -- Devices down: a95xF1, Tx9s1_JMBoy
INFO | 2024-01-01 10:00 -- Rescan scheduled starting
INFO | 2024-01-01 10:00 -- Cleared previous quest data
INFO | 2024-01-01 10:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-01 10:00 -- Truncated quests table sucessfully!
INFO | 2024-01-01 10:00 -- New PvP data generated
INFO | 2024-01-01 10:00 -- New last_scanned_date set to 2024-01-01 00:00:00
INFO | 2024-01-01 10:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-01 10:00 -- Enabled quest scanning mode
INFO | 2024-01-01 10:00 -- Scheduled rescan started successfully
ERROR | 2024-01-01 10:45 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 11:35 -- Quest scanning not progressing - Restarting
INFO | 2024-01-01 12:00 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-01 12:00 -- Disabled quest scanning mode
INFO | 2024-01-01 12:00 -- Pokestop quest scan completed
ERROR | 2024-01-01 14:55 -- Devices down: Tx9s1_JMBoy, Tx9s2_JMBoy
ERROR | 2024-01-01 16:35 -- Devices down: a95xF1, Tx9s1_JMBoy
ERROR | 2024-01-01 16:40 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 18:05 -- Devices down: a95xF1, Tx9s1_JMBoy
ERROR | 2024-01-01 18:40 -- Devices down: Tx9s1_JMBoy
ERROR | 2024-01-01 23:00 -- Devices down: Tx9s, Tx9s1_JMBoy
ERROR | 2024-01-01 23:05 -- Devices down: Tx9s1_JMBoy
INFO | 2024-01-02 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-02 00:00 -- Cleared previous quest data
INFO | 2024-01-02 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-02 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-02 00:00 -- New PvP data generated
INFO | 2024-01-02 00:00 -- New last_scanned_date set to 2024-01-02 00:00:00
INFO | 2024-01-02 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-02 00:00 -- Enabled quest scanning mode
INFO | 2024-01-02 00:00 -- Pokestop quest scanning started
INFO | 2024-01-02 00:40 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-02 01:00 -- Disabled quest scanning mode
INFO | 2024-01-02 01:00 -- Pokestop quest scan completed
INFO | 2024-01-03 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-03 00:00 -- Cleared previous quest data
INFO | 2024-01-03 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-03 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-03 00:00 -- New PvP data generated
INFO | 2024-01-03 00:00 -- New last_scanned_date set to 2024-01-03 00:00:00
INFO | 2024-01-03 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-03 00:00 -- Enabled quest scanning mode
INFO | 2024-01-03 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-03 00:05 -- Devices down: a95xF1
ERROR | 2024-01-03 01:15 -- Quest scanning not progressing - Restarting
ERROR | 2024-01-03 01:45 -- Devices down: a95xF1
ERROR | 2024-01-03 02:30 -- Quest scanning not progressing - Restarting
INFO | 2024-01-03 02:45 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-03 02:45 -- Disabled quest scanning mode
INFO | 2024-01-03 02:45 -- Pokestop quest scan completed
INFO | 2024-01-03 20:06 -- Rescan scheduled starting
INFO | 2024-01-03 20:06 -- Cleared previous quest data
INFO | 2024-01-03 20:06 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-03 20:06 -- Truncated quests table sucessfully!
INFO | 2024-01-03 20:06 -- New PvP data generated
INFO | 2024-01-03 20:06 -- New last_scanned_date set to 2024-01-03 00:00:00
INFO | 2024-01-03 20:06 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-03 20:06 -- Enabled quest scanning mode
ERROR | 2024-01-03 20:26 -- Devices not scanning: a95xF1, Tx9s2_JMBoy
INFO | 2024-01-03 20:37 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-03 20:42 -- Devices not scanning: a95xF1
INFO | 2024-01-03 20:42 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-03 20:42 -- Disabled quest scanning mode
INFO | 2024-01-03 20:42 -- Pokestop quest scan completed
INFO | 2024-01-04 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-04 00:00 -- Cleared previous quest data
INFO | 2024-01-04 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-04 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-04 00:00 -- New PvP data generated
INFO | 2024-01-04 00:00 -- New last_scanned_date set to 2024-01-04 00:00:00
INFO | 2024-01-04 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-04 00:00 -- Enabled quest scanning mode
INFO | 2024-01-04 00:00 -- Pokestop quest scanning started
INFO | 2024-01-04 00:35 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-04 00:40 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-04 00:40 -- Disabled quest scanning mode
INFO | 2024-01-04 00:40 -- Pokestop quest scan completed
INFO | 2024-01-05 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-05 00:00 -- Cleared previous quest data
INFO | 2024-01-05 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-05 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-05 00:00 -- New PvP data generated
INFO | 2024-01-05 00:00 -- New last_scanned_date set to 2024-01-05 00:00:00
INFO | 2024-01-05 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-05 00:00 -- Enabled quest scanning mode
INFO | 2024-01-05 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-05 00:05 -- Devices not found: a95xF1
ERROR | 2024-01-05 00:10 -- Devices not found: Tx9s2_JMBoy, Tx9s3_JMBoy
ERROR | 2024-01-05 00:15 -- Devices not found: Tx9s, a95xF1
ERROR | 2024-01-05 00:20 -- Devices not found: Tx9s3_JMBoy
ERROR | 2024-01-05 00:25 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-05 00:30 -- Devices not found: Tx9s1_JMBoy, Tx9s2_JMBoy
INFO | 2024-01-05 00:30 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-05 00:35 -- Devices not found: a95xF1
INFO | 2024-01-05 00:35 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-05 00:35 -- Disabled quest scanning mode
INFO | 2024-01-05 00:35 -- Pokestop quest scan completed
ERROR | 2024-01-05 05:05 -- Devices not found: Tx9s
ERROR | 2024-01-05 06:25 -- Devices not found: a95xF1
INFO | 2024-01-06 00:03 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-06 00:03 -- Cleared previous quest data
INFO | 2024-01-06 00:03 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-06 00:03 -- Truncated quests table sucessfully!
INFO | 2024-01-06 00:03 -- New PvP data generated
INFO | 2024-01-06 00:03 -- New last_scanned_date set to 2024-01-06 00:00:00
INFO | 2024-01-06 00:03 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-06 00:03 -- Enabled quest scanning mode
INFO | 2024-01-06 00:03 -- Pokestop quest scanning started
INFO | 2024-01-06 00:38 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-06 00:43 -- Devices not found: a95xF1
INFO | 2024-01-06 00:43 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-06 00:43 -- Disabled quest scanning mode
INFO | 2024-01-06 00:43 -- Pokestop quest scan completed
INFO | 2024-01-06 10:02 -- Rescan scheduled starting
INFO | 2024-01-06 10:02 -- Cleared previous quest data
INFO | 2024-01-06 10:02 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-06 10:02 -- Truncated quests table sucessfully!
INFO | 2024-01-06 10:02 -- New PvP data generated
INFO | 2024-01-06 10:02 -- New last_scanned_date set to 2024-01-06 00:00:00
INFO | 2024-01-06 10:02 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-06 10:02 -- Enabled quest scanning mode
INFO | 2024-01-06 10:02 -- Scheduled rescan started successfully
INFO | 2024-01-06 10:37 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-06 10:37 -- Disabled quest scanning mode
INFO | 2024-01-06 10:37 -- Pokestop quest scan completed
ERROR | 2024-01-06 12:22 -- Devices not scanning: Tx9s3_JMBoy
ERROR | 2024-01-06 17:27 -- Devices not found: Tx9s2_JMBoy
INFO | 2024-01-07 00:02 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-07 00:02 -- Cleared previous quest data
INFO | 2024-01-07 00:02 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-07 00:02 -- Truncated quests table sucessfully!
INFO | 2024-01-07 00:02 -- New PvP data generated
INFO | 2024-01-07 00:02 -- New last_scanned_date set to 2024-01-07 00:00:00
INFO | 2024-01-07 00:02 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-07 00:02 -- Enabled quest scanning mode
INFO | 2024-01-07 00:02 -- Pokestop quest scanning started
ERROR | 2024-01-07 00:27 -- Devices not found: Tx9s3_JMBoy
INFO | 2024-01-07 00:27 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-07 00:32 -- Devices not found: a95xF1
INFO | 2024-01-07 00:32 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-07 00:37 -- Disabled quest scanning mode
INFO | 2024-01-07 00:37 -- Pokestop quest scan completed
INFO | 2024-01-08 00:01 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-08 00:01 -- Cleared previous quest data
INFO | 2024-01-08 00:01 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-08 00:01 -- Truncated quests table sucessfully!
INFO | 2024-01-08 00:01 -- New PvP data generated
INFO | 2024-01-08 00:01 -- New last_scanned_date set to 2024-01-08 00:00:00
INFO | 2024-01-08 00:01 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-08 00:01 -- Enabled quest scanning mode
INFO | 2024-01-08 00:01 -- Pokestop quest scanning started
ERROR | 2024-01-08 00:06 -- Devices not found: Tx9s
INFO | 2024-01-08 00:31 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-08 00:36 -- Devices not found: a95xF1
INFO | 2024-01-08 00:36 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-08 00:41 -- Disabled quest scanning mode
INFO | 2024-01-08 00:41 -- Pokestop quest scan completed
ERROR | 2024-01-08 01:46 -- Devices not found: Tx9s
ERROR | 2024-01-08 02:26 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-08 19:45 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-08 20:40 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-08 20:50 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-08 20:50 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-08 21:10 -- Devices not found: Tx9s3_JMBoy
ERROR | 2024-01-08 21:10 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-09 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-09 00:00 -- Cleared previous quest data
INFO | 2024-01-09 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-09 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-09 00:00 -- New PvP data generated
INFO | 2024-01-09 00:00 -- New last_scanned_date set to 2024-01-09 00:00:00
INFO | 2024-01-09 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-09 00:00 -- Enabled quest scanning mode
INFO | 2024-01-09 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-09 00:10 -- Devices not found: Tx9s
ERROR | 2024-01-09 00:30 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-09 01:20 -- Devices not found: a95xF1
INFO | 2024-01-09 01:25 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-09 01:30 -- Devices not found: a95xF1
INFO | 2024-01-09 01:30 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-09 01:30 -- Disabled quest scanning mode
INFO | 2024-01-09 01:30 -- Pokestop quest scan completed
ERROR | 2024-01-09 04:00 -- Devices not found: Tx9s, a95xF1, Tx9s1_JMBoy, Tx9s2_JMBoy, Tx9s3_JMBoy
ERROR | 2024-01-09 06:15 -- Devices not found: a95xF1
ERROR | 2024-01-09 07:00 -- Devices not scanning: a95xF1
ERROR | 2024-01-09 08:15 -- Devices not scanning: Tx9s
