INFO | 2024-05-23 00:00 -- Day change encountered
INFO | 2024-05-23 00:00 -- New last_scanned_date set to 2024-05-23 00:00:00
INFO | 2024-05-23 00:00 -- Started quest scanning mode
INFO | 2024-05-23 00:21 -- Finished quest scanning mode
INFO | 2024-05-24 00:00 -- Day change encountered
INFO | 2024-05-24 00:00 -- New last_scanned_date set to 2024-05-24 00:00:00
INFO | 2024-05-24 00:00 -- Started quest scanning mode
INFO | 2024-05-24 00:19 -- Finished quest scanning mode
INFO | 2024-05-25 00:00 -- Day change encountered
INFO | 2024-05-25 00:00 -- New last_scanned_date set to 2024-05-25 00:00:00
INFO | 2024-05-25 00:00 -- Started quest scanning mode
INFO | 2024-05-25 00:21 -- Finished quest scanning mode
